,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
72,1962-04-29,2.3,190.0,73.11,1139.74,1.5,7.99,7.99,27.0,11,0,3,19,1,2,1296.0
73,1962-05-15,1.3,284.0,82.3,1139.74,1.5,7.99,7.99,560.0,19,0,3,25,1,2,1312.0
74,1962-05-24,2.9,154.0,32.5,1336.97,1.83,2.9,2.9,0.7368055555555556,13,0,11,14,1,0,1321.0
76,1962-05-28,1.8,207.0,49.06,277.5,1.5,1.8,1.8,339.0,1,1,1,22,0,11,1325.0
78,1962-05-30,2.3,192.0,74.1,1139.74,1.5,7.99,7.99,12.0,11,0,3,19,1,2,1327.0
79,1962-06-02,2.3,196.0,74.25,1139.74,1.5,7.99,7.99,26.0,11,0,3,19,1,2,1330.0
80,1962-06-02,0.3,188.0,74.29,4.96,0.15,0.25,0.3,19.0,14,0,12,15,1,8,1330.0
81,1962-06-18,4.0,370.0,82.11,1486.62,1.5,7.99,7.99,499.0,16,0,13,26,1,2,1346.0
84,1962-06-23,2.3,208.0,75.09,1139.74,1.5,7.99,7.99,14.0,11,0,3,19,1,2,1351.0
85,1962-06-28,2.3,193.0,76.08,1139.74,1.5,7.99,7.99,78.0,11,0,3,19,1,2,1356.0
86,1962-06-30,1.2,262.0,48.94,351.83,1.2,1.8,1.8,70.0,20,1,15,27,1,11,1358.0
91,1962-07-21,2.3,200.0,70.31,1139.74,1.5,7.99,7.99,24.0,11,0,3,19,1,2,1379.0
92,1962-07-28,2.3,187.0,71.09,1139.74,1.5,7.99,7.99,27.0,11,0,3,19,1,2,1386.0
95,1962-08-02,2.3,193.0,82.25,1139.74,1.5,7.99,7.99,24.0,11,0,3,19,1,2,1391.0
96,1962-08-11,6.5,158.0,64.96,4679.88,2.4,4.3,4.3,4.280555555555556,1,1,1,1,1,1,1400.0
98,1962-08-12,6.5,168.0,64.95,4685.83,2.4,4.3,4.3,3.285416666666667,1,1,1,1,1,1,1401.0
100,1962-08-18,1.8,259.0,48.97,333.99,1.2,1.8,1.8,364.0,17,1,15,21,1,11,1407.0
103,1962-08-27,5.0,197.0,32.03,201.19,1.53,3.03,3.03,0.6895833333333333,8,0,5,29,3,13,1416.0
105,1962-08-29,2.3,169.0,65.21,1139.74,1.5,7.99,7.99,12.0,11,0,3,19,1,2,1418.0
110,1962-09-17,2.3,192.0,81.86,1486.62,1.5,7.99,7.99,63.0,11,0,3,19,1,2,1437.0
113,1962-09-27,6.5,297.0,64.99,4707.63,2.4,4.3,4.3,4.3909722222222225,1,1,1,24,1,1,1447.0
118,1962-10-03,2.9,156.0,32.55,1357.78,1.83,2.9,2.9,0.8944444444444445,13,0,11,14,1,0,1453.0
120,1962-10-09,1.3,216.0,81.97,1486.62,1.5,7.99,7.99,38.0,19,0,3,25,1,2,1459.0
121,1962-10-17,6.5,196.0,65.0,4707.63,2.4,4.3,4.3,4.326388888888889,1,1,1,24,1,1,1467.0
123,1962-10-18,5.0,207.0,28.32,339.71,1.53,3.13,5.18,1.33125,8,0,5,31,7,6,1468.0
125,1962-10-20,1.8,249.0,48.98,312.19,1.2,1.8,1.8,576.0,17,1,15,21,1,11,1470.0
128,1962-10-27,1.3,312.0,17.97,44.8,0.74,1.3,1.3,5559.0,2,0,9,11,8,5,1477.0
133,1962-11-05,2.3,194.0,75.02,1139.74,1.5,7.99,7.99,28.0,11,0,3,19,1,2,1486.0
135,1962-11-24,2.3,206.0,65.13,1139.74,1.5,7.99,7.99,19.0,11,0,3,19,1,2,1505.0
136,1962-12-04,2.3,123.0,65.19,1139.74,1.5,7.99,7.99,4.0,11,0,3,19,1,2,1515.0
140,1962-12-14,2.3,195.0,70.98,1139.74,1.5,7.99,7.99,25.0,11,0,3,19,1,2,1525.0
142,1962-12-13,0.1,231.0,70.34,0.2,0.15,0.15,0.15,200.0,24,0,19,38,0,4,1524.0
144,1962-12-19,5.5,700.0,90.63,60.46,0.46,0.25,0.46,8681.0,5,0,6,40,9,5,1530.0
152,1963-01-04,2.6,178.0,64.75,1470.0,1.5,2.6,2.6,7.0,1,1,1,41,1,9,1546.0
154,1963-01-07,2.3,178.0,82.24,1269.0,1.5,7.99,7.99,17.0,11,0,3,19,1,15,1549.0
157,1963-02-19,0.5,504.0,100.48,39.64,0.6,0.5,0.5,6154.0,16,0,8,42,10,17,1592.0
162,1963-04-01,2.3,198.0,75.25,1275.0,1.5,7.99,7.99,25.0,11,0,3,19,1,15,1633.0
167,1963-04-13,3.0,262.0,48.95,351.83,1.2,2.0,3.0,138.0,25,1,23,45,1,20,1645.0
176,1963-05-15,2.9,163.0,32.54,1357.78,1.83,2.9,2.9,1.975,13,0,11,14,1,0,1677.0
178,1963-05-18,3.8,158.0,74.64,1585.0,1.52,7.08,7.08,9.0,11,0,3,46,1,15,1680.0
179,1963-05-09,0.2,3604.0,87.35,1.0,0.2,0.2,0.2,17718.0,7,0,4,47,4,21,1671.0
185,1963-06-12,2.3,181.0,81.81,1528.0,1.52,7.08,7.08,30.0,11,0,3,19,1,15,1705.0
186,1963-06-14,6.5,158.0,64.92,4707.63,2.4,4.3,4.3,5.457638888888889,1,1,1,1,1,18,1707.0
189,1963-06-16,30.0,728.0,90.02,54.51,0.5,0.2,30.0,9910.0,5,0,6,40,9,22,1709.0
190,1963-06-16,6.5,163.0,64.92,4670.96,2.4,4.3,4.3,3.34375,1,1,1,1,1,18,1709.0
192,1963-06-15,0.2,139.0,69.69,2.97,0.2,0.2,0.2,20.0,24,0,19,39,1,23,1708.0
193,1963-06-15,0.5,173.0,69.92,34.69,0.61,0.61,0.61,42.0,23,0,19,35,1,4,1708.0
194,1963-06-15,0.5,165.0,69.77,38.65,0.61,0.61,0.61,47.0,23,0,19,37,1,4,1708.0
195,1963-06-15,0.5,174.0,69.94,24.78,0.51,0.51,0.51,45.0,23,0,19,37,1,4,1708.0
196,1963-06-15,12.0,169.0,69.86,25.77,0.5,0.5,12.0,33.0,24,0,19,35,1,19,1708.0
199,1963-06-19,1.1,614.0,58.21,133.8,1.07,0.56,1.07,11307.0,2,0,8,9,0,2,1712.0
204,1963-06-27,2.3,185.0,81.62,1486.62,1.52,7.08,7.08,29.0,11,0,3,19,1,2,1720.0
205,1963-06-28,1.0,421.0,49.74,98.41,0.59,2.54,2.54,7474.0,27,0,25,49,0,2,1721.0
208,1963-07-12,5.0,185.0,95.37,2190.0,1.52,7.08,7.08,6.0,16,0,26,51,12,15,1735.0
210,1963-07-19,2.3,188.0,82.87,1233.0,1.52,7.08,7.08,25.0,11,0,3,19,1,15,1742.0
214,1963-07-31,3.8,168.0,74.9,1574.0,1.52,7.08,7.08,12.0,11,0,3,46,1,15,1754.0
223,1963-08-29,1.3,277.0,81.85,991.08,1.52,7.08,7.08,70.0,19,0,3,25,1,2,1783.0
224,1963-08-29,0.1,312.0,81.86,10.0,0.1,0.1,0.1,31.0,26,0,28,53,1,4,1783.0
228,1963-09-23,2.5,177.0,74.96,1553.0,1.52,7.08,7.08,19.0,11,0,3,52,1,15,1808.0
234,1963-10-17,0.2,952.0,35.9,1.98,0.2,0.2,0.2,842.0,7,0,4,55,5,21,1832.0
236,1963-10-25,5.0,119.0,99.08,2190.0,1.52,7.08,7.08,4.0,16,0,26,51,12,15,1840.0
240,1963-11-01,4.0,327.0,58.88,1950.0,2.0,4.0,4.0,6924.0,28,1,30,56,0,16,1847.0
247,1963-11-27,2.3,178.0,69.94,1486.62,1.52,7.08,7.08,18.0,11,0,3,19,1,2,1873.0
257,1963-12-19,3.6,588.0,78.6,6.94,3.65,3.65,3.65,6352.0,9,0,32,59,0,4,1895.0
275,1964-01-25,41.0,1008.0,81.48,278.0,41.14,41.14,41.14,1960.0,9,0,32,61,0,4,1932.0
280,1964-01-30,5.0,408.0,60.46,440.04,0.85,1.8,5.0,12136.0,1,1,1,62,8,32,1937.0
287,1964-02-27,1.2,260.0,49.05,351.83,1.2,1.8,1.8,268.0,20,1,15,27,1,24,1965.0
289,1964-02-28,2.0,493.0,82.07,1401.0,1.52,7.08,7.08,1818.0,16,0,13,26,1,16,1966.0
292,1964-03-18,1.8,263.0,48.97,361.74,1.2,1.8,1.8,194.0,17,1,15,21,1,11,1985.0
295,1964-03-27,40.0,289.0,51.65,67.39,0.6,0.9,40.0,1331.0,31,2,16,23,0,33,1994.0
296,1964-03-27,3.0,197.0,64.8,817.64,2.0,6.99,6.99,2.0,1,1,1,34,1,2,1994.0
304,1964-04-12,4.0,303.0,58.06,2250.0,2.0,4.0,4.0,787.0,28,1,30,56,1,16,2010.0
306,1964-04-23,5.0,151.0,103.57,2190.0,1.52,7.08,7.08,6.0,16,0,26,51,12,15,2021.0
313,1964-05-28,3.9,178.0,31.77,16237.0,5.6,21.6,21.6,4.027083333333334,13,0,34,65,1,0,2056.0
316,1964-06-06,1.8,218.0,48.97,322.1,1.2,1.8,1.8,136.0,17,1,15,21,1,11,2065.0
331,1964-07-02,2.0,494.0,82.08,1368.0,1.52,7.08,7.08,1862.0,16,0,13,26,1,16,2091.0
332,1964-07-06,5.0,121.0,92.89,2190.0,1.52,7.08,7.08,2.0,16,0,26,51,6,15,2095.0
333,1964-07-06,0.9,289.0,92.99,100.0,0.9,0.3,0.9,181.0,16,0,35,50,6,2,2095.0
334,1964-07-10,2.1,173.0,84.97,1600.0,1.52,7.08,7.08,27.0,11,0,3,52,1,2,2099.0
336,1964-07-10,5.0,452.0,60.63,440.04,0.85,1.8,5.0,7033.0,1,1,1,62,8,32,2099.0
341,1964-07-17,1.4,94374.0,40.68,217.0,1.4,1.4,1.4,1629.0,7,0,4,54,5,24,2106.0
342,1964-07-17,0.2,319.0,38.3,1.98,0.2,0.2,0.2,714.0,7,0,4,55,5,21,2106.0
343,1964-07-28,4.6,185.0,28.96,362.74,1.53,3.13,4.57,1.3243055555555556,8,0,5,63,7,31,2117.0
345,1964-07-30,1.2,253.0,49.0,322.1,1.2,1.8,1.8,213.0,20,1,15,27,1,24,2119.0
347,1964-08-05,2.1,179.0,79.97,1641.0,1.52,7.08,7.08,27.0,11,0,3,52,1,2,2125.0
350,1964-08-14,5.0,147.0,95.51,2190.0,1.52,7.08,7.08,9.0,16,0,26,51,12,15,2134.0
351,1964-08-14,0.9,271.0,95.69,96.0,0.9,0.3,0.9,5319.0,16,0,3,50,4,2,2134.0
353,1964-08-18,0.8,199.0,56.12,49.55,0.8,1.0,1.0,82.0,33,1,36,66,1,24,2138.0
354,1964-08-18,0.8,204.0,56.15,49.55,0.8,1.0,1.0,91.0,33,1,36,66,1,24,2138.0
355,1964-08-18,0.8,202.0,56.14,49.55,0.8,1.0,1.0,92.0,33,1,36,66,1,24,2138.0
358,1964-08-21,1.3,329.0,114.99,1325.0,1.52,7.08,7.08,222.0,19,0,3,25,15,26,2141.0
361,1964-08-22,0.8,228.0,49.0,50.0,0.8,1.0,1.0,484.0,33,1,36,66,0,24,2142.0
364,1964-08-22,0.8,231.0,49.0,50.0,0.8,1.0,1.0,492.0,33,1,36,66,0,24,2142.0
365,1964-08-22,8.6,424.0,64.87,1650.0,1.4,4.4,8.6,14475.0,1,1,1,67,17,30,2142.0
368,1964-08-28,3.4,426.0,98.67,372.65,1.45,3.0,3.4,3548.0,2,0,26,69,10,6,2148.0
382,1964-10-04,2.5,666.0,33.82,61.45,0.7,0.2,2.5,454.0,2,0,22,58,5,36,2185.0
383,1964-10-05,2.1,175.0,79.97,1590.0,1.52,7.08,7.08,21.403472222222224,11,0,3,52,1,2,2186.0
384,1964-10-06,6.5,174.0,64.6,4955.4,2.4,5.99,5.99,1.3125,1,1,1,1,1,18,2187.0
392,1964-10-12,6.5,177.0,64.72,5272.55,2.4,5.99,5.99,1.3243055555555556,1,1,1,1,1,18,2193.0
399,1964-10-24,1.8,259.0,48.95,351.83,1.2,1.8,1.8,301.0,17,1,15,21,1,11,2205.0
408,1964-11-05,6.9,180.0,31.07,397.0,1.3,2.9,6.9,1.2798611111111111,8,0,5,73,3,5,2217.0
409,1964-11-06,0.9,464.0,51.96,132.8,0.62,2.34,2.34,6809.0,9,0,10,13,0,2,2218.0
410,1964-11-18,2.1,174.0,70.01,1675.0,1.52,7.08,7.08,18.0,11,0,3,52,1,2,2230.0
411,1964-11-21,3.6,542.0,81.35,8.52,3.65,3.65,3.65,1427.0,9,0,32,59,0,4,2233.0
414,1964-11-28,6.9,187.0,28.13,261.0,1.3,2.9,6.9,1.0069444444444444,8,0,5,73,3,5,2240.0
419,1964-12-04,5.0,158.0,97.02,1982.16,1.52,7.08,7.08,2.0,16,0,26,51,12,2,2246.0
420,1964-12-09,1.8,259.0,48.76,247.0,1.2,1.8,1.8,340.0,17,1,15,21,1,11,2251.0
425,1964-12-15,0.7,198.0,37.77,113.97,0.66,0.66,0.66,270.0,35,4,41,75,1,4,2257.0
435,1965-01-19,0.6,461.0,98.76,94.0,0.6,0.5,0.6,5288.0,16,0,8,42,10,2,2292.0
438,1965-01-23,5.0,141.0,102.54,2190.0,1.52,7.08,7.08,6.0,16,0,26,51,12,15,2296.0
441,1965-01-30,1.8,221.0,48.73,220.0,1.2,1.8,1.8,559.0,36,1,44,21,0,11,2303.0
443,1965-02-03,2.3,549.0,32.85,236.0,2.3,0.9,2.3,8953.0,2,0,14,20,1,40,2307.0
448,1965-02-16,29.0,500.0,31.75,10297.0,2.0,5.0,29.0,4961.0,37,0,45,79,0,20,2320.0
449,1965-02-17,4.6,199.0,28.8,363.73,1.53,3.13,4.57,3.0,8,0,5,63,7,31,2321.0
451,1965-02-16,3.9,500.0,31.75,5073.0,3.91,8.99,8.99,7449.0,13,0,34,65,0,0,2320.0
452,1965-02-21,0.8,260.0,56.05,49.55,0.8,1.0,1.0,1302.0,33,1,36,66,0,24,2325.0
453,1965-02-21,0.8,260.0,56.03,49.55,0.8,1.0,1.0,1076.0,33,1,36,66,0,24,2325.0
454,1965-02-21,0.8,258.0,56.05,49.55,0.8,1.0,1.0,984.0,33,1,36,66,0,24,2325.0
459,1965-02-26,4.5,561.0,65.04,1250.0,1.5,5.0,5.0,9130.0,25,1,23,70,0,20,2330.0
469,1965-03-12,2.6,194.0,64.72,6470.0,1.5,2.6,2.6,5.0,1,1,1,41,1,9,2344.0
470,1965-03-12,5.0,147.0,107.63,2190.0,1.52,7.08,7.08,5.0,16,0,26,51,15,15,2344.0
471,1965-03-11,0.5,282.0,89.98,17.84,0.2,0.3,0.4,1082.0,30,0,33,60,9,23,2343.0
475,1965-03-15,0.8,262.0,56.01,49.55,0.8,1.0,1.0,1036.0,33,1,36,66,0,24,2347.0
476,1965-03-15,0.8,261.0,56.04,49.55,0.8,1.0,1.0,1289.0,33,1,36,66,0,24,2347.0
477,1965-03-15,0.8,259.0,56.03,49.55,0.8,1.0,1.0,964.0,33,1,36,66,0,24,2347.0
481,1965-03-18,0.6,526.0,99.03,50.0,0.6,0.5,0.6,9054.0,16,0,8,42,10,2,2350.0
482,1965-03-18,6.5,167.0,64.79,5585.0,2.4,5.99,5.99,1.3763888888888889,1,1,1,1,1,18,2350.0
489,1965-03-21,4.6,188.0,28.5,363.73,1.53,3.13,4.57,3.0,8,0,5,63,7,31,2353.0
491,1965-03-23,3.5,161.0,32.62,3127.0,3.0,5.59,5.59,0.8027777777777778,13,0,11,64,1,3,2355.0
493,1965-03-11,30.0,207.0,89.97,54.0,0.5,0.3,30.0,95.0,5,0,38,40,6,22,2343.0
496,1965-03-25,2.1,179.0,96.02,1486.62,1.52,7.08,7.08,11.0,11,0,3,52,12,2,2357.0
497,1965-03-09,0.2,909.0,70.09,4.96,0.2,0.3,0.4,5862.0,24,0,19,39,0,23,2341.0
656,1965-04-23,8.6,533.0,65.25,1650.0,1.4,4.4,8.6,5228.0,33,1,36,67,17,30,2386.0
662,1965-04-29,2.1,182.0,85.03,1615.0,1.52,7.08,7.08,27.0,11,0,3,52,6,2,2392.0
674,1965-05-20,0.6,554.0,98.64,247.77,0.6,0.5,0.6,17095.0,16,0,8,42,10,2,2413.0
676,1965-05-25,29.0,508.0,31.76,10300.0,2.0,5.0,29.0,5275.888888888889,37,0,45,79,0,20,2418.0
679,1965-05-25,3.9,511.0,31.76,5173.0,3.9,12.9,12.9,8810.0,13,0,34,65,0,3,2418.0
683,1965-06-03,3.5,165.0,32.5,3581.0,3.0,5.59,5.59,4.716666666666667,13,0,11,64,1,3,2427.0
685,1965-06-08,2.6,164.0,64.76,1442.0,1.5,2.6,2.6,3.0,1,1,1,41,1,9,2432.0
691,1965-06-18,4.0,168.0,32.14,9613.48,3.0,5.0,5.0,11.0,7,0,47,84,1,0,2442.0
697,1965-06-25,0.8,495.0,107.64,105.0,0.9,0.3,0.9,1154.0,16,0,48,50,15,23,2449.0
703,1965-07-02,1.8,225.0,48.76,220.0,1.2,1.8,1.8,534.0,36,1,44,21,0,11,2456.0
707,1965-07-16,0.8,517.0,56.05,49.55,0.8,1.0,1.0,1852.0,33,1,36,66,1,24,2470.0
708,1965-07-16,0.8,541.0,56.06,49.55,0.8,1.0,1.0,5152.0,33,1,36,66,1,24,2470.0
709,1965-07-16,0.8,538.0,56.06,49.55,0.8,1.0,1.0,3169.0,33,1,36,66,1,24,2470.0
710,1965-07-16,0.8,542.0,56.04,49.55,0.8,1.0,1.0,5263.0,33,1,36,66,1,24,2470.0
711,1965-07-16,0.8,546.0,56.03,49.55,0.8,1.0,1.0,5187.0,33,1,36,66,1,24,2470.0
713,1965-07-17,3.0,469.0,70.19,1600.0,1.52,7.08,7.08,1250.0,16,0,13,26,1,16,2471.0
723,1965-07-20,0.8,566.0,36.88,5.0,0.3,0.3,0.8,1077.0,7,0,4,85,5,25,2474.0
724,1965-07-23,1.2,255.0,48.78,200.0,1.2,1.2,1.2,236.0,41,1,44,27,1,24,2477.0
726,1965-07-16,9.0,177.0,63.46,12091.18,4.0,3.0,4.0,87.0,1,1,1,86,1,12,2470.0
727,1965-07-30,29.0,516.0,28.87,10323.0,2.0,5.0,29.0,1466.2944444444445,37,0,45,79,1,20,2484.0
728,1965-07-30,3.9,521.0,28.87,5297.0,3.91,8.99,8.99,3767.0,13,0,34,65,1,0,2484.0
745,1965-08-21,3.5,170.0,32.59,3301.0,3.0,5.59,5.59,8.538194444444445,13,0,11,64,1,3,2506.0
747,1965-08-21,0.6,169.0,32.59,34.69,0.3,0.3,0.6,6.0,13,0,11,89,1,47,2506.0
769,1965-09-22,2.1,172.0,80.03,1615.0,1.52,7.08,7.08,19.0,11,0,3,52,1,2,2538.0
781,1965-10-14,24.5,418.0,87.37,507.0,0.8,1.7,24.5,5817.0,2,0,4,71,9,35,2560.0
782,1965-10-14,8.6,560.0,65.19,1650.0,1.4,4.4,8.6,519.0,33,1,36,67,17,30,2560.0
787,1965-10-19,4.0,158.0,48.34,240.0,1.3,2.1,4.0,76.0,36,1,44,91,1,49,2565.0
795,1965-11-02,9.0,151.0,63.44,8300.0,4.1,4.0,9.0,96.0,1,1,1,86,1,12,2579.0
799,1965-11-04,4.0,147.0,48.44,240.0,1.3,2.1,4.0,75.0,36,1,44,91,1,49,2581.0
803,1965-11-08,5.0,155.0,93.9,2190.0,1.5,5.0,5.0,1.0,16,0,26,51,6,15,2585.0
814,1965-11-23,6.7,209.0,51.9,6500.0,2.0,6.99,6.99,16.0,1,1,1,34,1,51,2600.0
816,1965-11-26,4.0,217.0,48.45,230.0,1.3,2.5,4.0,492.0,36,1,44,91,0,52,2603.0
827,1965-12-03,2.6,185.0,51.87,1552.0,1.5,2.6,2.6,3.0,1,1,1,41,1,9,2610.0
829,1965-12-04,3.5,299.0,28.9,2195.0,3.0,5.59,5.59,14.586805555555555,13,0,11,64,1,3,2611.0
837,1965-12-15,3.5,270.0,28.9,3083.0,3.0,5.59,5.59,1.6444444444444444,13,0,11,64,1,3,2622.0
843,1965-12-21,1.2,255.0,48.8,200.0,1.2,1.2,1.2,203.0,41,1,44,27,1,24,2628.0
849,1965-12-27,9.2,203.0,65.0,3600.0,2.0,9.99,9.99,17.0,28,1,30,97,1,9,2634.0
850,1965-12-28,3.0,596.0,56.04,800.0,2.0,3.0,3.0,8771.0,33,1,36,98,0,2,2635.0
852,1965-12-21,0.9,189.0,26.51,51.54,0.85,0.91,0.91,4241.0,7,0,27,78,8,2,2628.0
854,1965-12-21,0.5,162.0,26.8,18.0,0.5,0.5,0.5,3765.0,14,0,53,15,8,21,2628.0
859,1965-12-21,0.6,190.0,26.7,16.0,0.6,0.6,0.6,837.0,7,0,27,78,8,24,2628.0
864,1966-01-25,1.4,278.0,48.37,200.0,1.4,1.4,1.4,293.0,41,1,44,27,1,24,2663.0
873,1966-02-02,2.1,178.0,75.03,1615.0,1.52,7.08,7.08,25.0,11,0,3,52,1,2,2671.0
876,1966-02-09,3.0,499.0,82.08,1600.0,1.52,7.08,7.08,1325.0,16,0,13,26,1,16,2678.0
880,1966-02-11,1.5,190.0,48.84,291.0,1.2,1.8,1.8,283.0,36,1,44,99,1,11,2680.0
884,1966-02-15,0.3,147.0,96.5,4.06,0.3,0.3,0.3,7.0,7,0,55,100,12,56,2684.0
889,1966-02-22,6.5,192.0,51.85,5350.0,2.4,5.0,5.0,22.589583333333334,1,1,1,1,1,18,2691.0
894,1966-03-01,1.5,182.0,51.8,6582.0,2.0,6.99,6.99,2.0,1,1,1,102,1,11,2698.0
900,1966-03-16,3.5,261.0,28.9,2505.0,3.0,5.59,5.59,0.9680555555555556,13,0,11,64,1,3,2713.0
904,1966-03-18,5.0,147.0,101.0,2190.0,1.52,7.08,7.08,6.0,16,0,26,51,12,15,2715.0
928,1966-04-08,3.0,175.0,30.7,785.0,1.15,2.95,2.95,27.0,8,0,5,105,1,58,2736.0
932,1966-04-19,5.0,145.0,116.95,2190.0,1.52,7.08,7.08,7.0,16,0,26,51,15,15,2747.0
937,1966-04-25,8.6,404.0,64.82,1650.0,1.4,4.4,8.6,2604.0,33,1,36,67,17,30,2753.0
938,1966-04-26,1.2,287.0,48.37,200.0,1.2,1.8,1.8,221.0,41,1,44,27,1,24,2754.0
946,1966-05-11,4.5,586.0,65.01,1250.0,1.4,4.5,4.5,8232.0,25,1,23,70,0,20,2769.0
948,1966-05-14,5.0,131.0,110.5,2190.0,1.52,7.08,7.08,7.0,16,0,26,51,15,15,2772.0
949,1966-05-14,0.8,517.0,109.95,105.0,0.8,0.3,0.8,1627.0,16,0,35,50,15,23,2772.0
955,1966-05-24,2.1,175.0,66.03,1486.62,1.52,7.08,7.08,16.0,11,0,3,52,1,2,2782.0
956,1966-05-24,2.3,208.0,48.39,1126.0,1.3,2.1,2.3,190.0,36,1,44,91,0,60,2782.0
957,1966-05-25,1.5,283.0,64.67,224.0,0.9,0.9,1.5,6848.0,2,0,22,44,0,61,2783.0
959,1966-05-30,4.3,169.0,30.05,986.0,2.2,2.9,4.3,3.0,8,0,5,87,7,62,2788.0
963,1966-06-03,3.5,272.0,28.86,3921.0,3.0,5.59,5.59,3.5833333333333335,13,0,11,64,1,3,2792.0
967,1966-06-07,15.0,905.0,36.92,487.0,0.8,1.7,15.0,5579.0,2,0,4,71,5,35,2796.0
970,1966-06-09,3.0,172.0,90.02,2000.0,1.5,9.3,9.3,177.0,7,0,3,108,4,63,2798.0
972,1966-06-09,0.2,176.0,90.01,5.0,0.2,0.2,0.2,276.0,7,0,4,109,4,14,2798.0
973,1966-06-09,0.5,171.0,90.05,18.0,0.23,0.3,0.36,392.0,30,0,33,60,4,23,2798.0
988,1966-06-21,2.1,193.0,80.09,1615.0,1.52,7.08,7.08,23.0,11,0,3,52,1,2,2810.0
989,1966-06-24,30.0,3978.0,87.01,54.51,30.45,30.45,30.45,18333.0,9,0,32,112,4,4,2813.0
990,1966-06-25,4.5,583.0,64.98,1250.0,1.5,5.0,5.0,8543.0,25,1,23,70,0,20,2814.0
997,1966-07-06,9.0,174.0,63.45,12200.0,4.1,4.0,9.0,72.0,46,1,56,86,1,12,2825.0
1002,1966-07-08,1.2,253.0,48.78,200.0,1.2,1.8,1.8,155.0,41,1,44,27,1,24,2827.0
1004,1966-07-12,5.0,140.0,95.54,2190.0,1.52,7.08,7.08,8.0,16,0,26,51,12,15,2831.0
1006,1966-07-14,9.0,955.0,144.22,10.31,9.13,9.13,9.13,4192.0,42,0,60,114,19,4,2833.0
1014,1966-07-18,1.5,301.0,28.86,3259.0,1.5,7.89,7.89,164.0,13,0,11,103,1,2,2837.0
1015,1966-07-18,3.5,299.0,28.8,2432.0,3.0,5.59,5.59,1.1756944444444444,13,0,11,64,1,3,2837.0
1028,1966-08-10,5.3,196.0,29.61,380.0,2.0,2.1,5.3,1.0,9,0,61,116,7,67,2860.0
1030,1966-08-16,5.0,148.0,93.22,2190.0,1.52,7.08,7.08,8.0,16,0,26,51,6,15,2866.0
1032,1966-08-17,3.3,369.0,42.04,62.98,0.9,0.9,3.3,9.0,44,0,4,96,3,68,2867.0
1046,1966-09-12,1.5,309.0,28.83,3265.0,1.5,7.89,7.89,109.0,13,0,11,103,1,2,2893.0
1047,1966-09-12,3.5,298.0,28.83,2724.0,3.0,5.59,5.59,0.6777777777777778,13,0,11,64,0,3,2893.0
1051,1966-09-16,5.0,148.0,93.98,2190.0,1.52,7.08,7.08,7.0,16,0,26,51,6,15,2897.0
1052,1966-09-16,0.8,466.0,94.02,105.0,0.9,0.3,0.9,601.0,16,0,29,50,6,23,2897.0
1054,1966-09-20,4.3,165.0,33.41,1004.0,2.2,2.9,4.3,2.0,8,0,5,87,7,62,2901.0
1056,1966-09-20,2.1,188.0,85.13,1615.0,1.52,7.08,7.08,22.0,11,0,3,52,6,2,2901.0
1062,1966-09-17,2.3,163.0,49.63,1450.0,1.4,2.3,2.3,55.0,48,1,44,118,0,0,2898.0
1071,1966-10-20,8.6,464.0,64.68,1650.0,1.4,4.4,8.6,692.0,33,1,36,67,17,30,2931.0
1079,1966-10-26,2.4,165.0,29.67,726.0,1.1,2.4,2.4,1.0,8,0,5,105,7,58,2937.0
1082,1966-10-28,0.7,316.0,81.97,82.0,0.7,0.7,0.7,1797.0,42,0,58,107,0,14,2939.0
1086,1966-11-02,5.0,159.0,91.0,2190.0,1.52,7.08,7.08,8.0,16,0,26,51,6,15,2944.0
1087,1966-11-03,12.9,277.0,32.84,8677.0,3.0,17.5,17.5,67.0,49,0,47,120,1,58,2945.0
1089,1966-11-03,1.4,272.0,32.84,136.0,0.4,1.4,1.4,63.0,50,0,62,121,1,2,2945.0
1090,1966-11-03,1.4,289.0,32.84,202.0,0.7,1.4,1.4,58.0,50,0,50,90,1,48,2945.0
1091,1966-11-03,1.4,276.0,32.84,109.0,0.4,1.4,1.4,69.0,50,0,62,121,1,2,2945.0
1093,1966-11-06,5.3,185.0,28.6,380.0,2.0,2.1,5.3,2.0,9,0,61,116,7,69,2948.0
1095,1966-11-02,2.3,141.0,49.6,1450.0,3.0,9.4,9.4,185.0,48,1,44,118,1,0,2944.0
1096,1966-11-08,2.1,177.0,100.08,1615.0,1.52,7.08,7.08,21.0,11,0,3,52,12,2,2950.0
1099,1966-11-11,1.5,251.0,28.85,3227.0,1.5,7.89,7.89,42.0,13,0,11,103,1,2,2953.0
1100,1966-11-11,3.5,252.0,28.84,2461.0,3.0,5.59,5.59,1.0416666666666667,13,0,11,64,1,3,2953.0
1111,1966-12-05,5.0,135.0,104.65,2190.0,1.52,7.08,7.08,9.0,16,0,26,51,15,15,2977.0
1116,1966-12-11,30.0,634.0,93.41,124.0,0.7,1.4,30.0,13138.0,42,0,50,90,9,72,2983.0
1117,1966-12-12,4.0,251.0,48.41,280.0,1.3,2.1,4.0,121.0,36,1,44,91,1,73,2984.0
1126,1966-12-21,4.0,221.0,48.8,237.0,1.3,2.1,4.0,337.0,36,1,44,91,0,52,2993.0
