,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
729,"Galileo FOC FM12 (0212, Galileo 16)",Galileo FOC FM12,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23039,23055,0.0002719515926165143,54.6,846.0,723.0,,,2016-11-17,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069B,41860,
730,"Galileo FOC FM13 (0213, Galileo 17)",Galileo FOC FM13,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,22982,22982,0.0,54.6,834.0,723.0,,,2016-11-17,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069C,41861,
731,"Galileo FOC FM14 (0214, Galileo 18)",Galileo FOC FM14,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23272,23296,0.00040466716125986375,54.6,847.0,723.0,,,2016-11-17,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069D,41862,
732,"Galileo FOC FM15 (0215, Galileo 19)",Galileo FOC FM15,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23164,23184,0.00033847820200379094,56.9,842.6,715.0,,,2017-12-13,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079A,43055,
733,"Galileo FOC FM16 (0216, Galileo 20)",Galileo FOC FM16,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,22904,22927,0.000392685800140001,57.01,831.6,715.0,,,2017-12-13,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079B,43056,
734,"Galileo FOC FM17 (0217, Galileo 21)",Galileo FOC FM17,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,22905,22918,0.00022198316343083517,56.9,831.4,715.0,,,2017-12-13,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079C,43057,
735,"Galileo FOC FM18 (0218, Galileo 22)",Galileo FOC FM18,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,22903,23149,0.0041842427541162065,57.1,830.9,715.0,,,2017-12-13,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2017-079D,43058,
736,"Galileo FOC FM19 (0219, Galileo 23)",Galileo FOC FM19,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23233,23250,0.0002870506391098053,56.3,840.2,715.0,,,2018-07-25,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060C,43566,
737,"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",Galileo FOC FM2,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,Elliptical,Non-Polar Inclined,0.0,13810,25918,0.23076923076923078,49.77,705.11,733.0,660,,2014-08-22,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129,"Placed into wrong orbit, subsequently maneuvered into orbit where it can work with Galileo constellation."
738,"Galileo FOC FM20 (0220, Galileo 24)",Galileo FOC FM20,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23089,23149,0.0010173284953711554,56.3,831.2,715.0,,,2018-07-25,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060D,43567,
739,"Galileo FOC FM21 (0221, Galileo 25)",Galileo FOC FM21,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,22973,22980,0.00011926464825447668,56.3,834.2,715.0,,,2018-07-25,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060A,43564,
740,"Galileo FOC FM22 (0222, Galileo 26)",Galileo FOC FM22,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23021,23047,0.00044211671881376686,56.3,836.6,715.0,,,2018-07-25,12.0,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Ariane 5 ES,2018-060B,43565,
741,"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",Galileo FOC FM3,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23516,23574,0.0009694133377904061,55.0,858.55,723.0,,,2015-03-27,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544,
742,"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",Galileo FOC FM4,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23353,23382,0.00048759983186212694,55.1,850.5,723.0,,,2015-03-27,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545,
743,"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",Galileo FOC FM5,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23218,23240,0.0003716341768302983,57.1,845.0,723.0,,,2015-09-11,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045A,40889,
744,"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",Galileo FOC FM6,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23220,23239,0.000320951367421747,57.1,844.0,723.0,,,2015-09-11,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045B,40890,
745,"Galileo FOC FM7 (0207, Galileo 15)",Galileo FOC FM7,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23265,23305,0.0006744225257123588,54.6,847.0,723.0,,,2016-11-17,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Ariane 5,2016-069A,41859,
746,"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",Galileo FOC FM8,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23550,23618,0.0011350737797956867,54.96,860.51,723.0,,,2015-12-17,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079B,41175,
747,"Galileo FOC FM9 (0209, Galileo 12, E09)",Galileo FOC FM9,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23551,23568,0.00028400073506072606,54.95,858.34,723.0,,,2015-12-17,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079A,41174,
748,"Galileo IOV-1 FM2 (0102, PRN E12)",Galileo IOV-1 FM2,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23242,23307,0.0010963247820000338,54.67,846.98,700.0,,1420,2011-10-21,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060B,37847,Operational nucleus of the full 30-satellite constellation.
749,"Galileo IOV-1 PFM (0101, PRN E11)",Galileo IOV-1 PFM,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23240,23306,0.0011132476469992915,54.68,846.88,700.0,,1420,2011-10-21,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060A,37846,Operational nucleus of the full 30-satellite constellation.
750,"Galileo IOV-2 FM3 (0103, PRN E19)",Galileo IOV-2 FM3,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23214,23233,0.0003210164394208188,55.34,844.76,700.0,,1420,2012-10-12,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055A,38857,Operational nucleus of the full 30-satellite constellation.
751,"Galileo IOV-2 FM4 (0104, PRN E20)",Galileo IOV-2 FM4,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23217,23227,0.0001689645850229792,55.3,844.69,700.0,,1420,2012-10-12,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055B,38858,Operational nucleus of the full 30-satellite constellation. Partial failure in 2014.
752,Gaofen 1,Gaofen 1,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,630,654,0.0017113519680547634,98.07,97.56,1000.0,,,2013-04-26,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-018A,39150,Possibly for cartography; will work in system to combine data from different sources.
753,Gaofen 10,Gaofen 10,NR,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,611,621,0.0007157171485828801,97.8,97.03,1000.0,,,2019-10-04,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2019-066A,44622,
754,Gaofen 11,Gaofen 11,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,Elliptical,,0.0,241,689,0.032772494513533285,97.4,93.9,1000.0,,,2018-07-31,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B,2018-063A,43585,
755,Gaofen 11-02,Gaofen 11-02,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,Elliptical,,0.0,244,691,0.0326873857404022,97.3,93.9,1000.0,,,2020-09-07,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B,2020-064A,46396,Resolution better than one meter. 
756,Gaofen 12,Gaofen 12,NR,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,612,616,0.000286368843069874,97.9,96.9,1000.0,,,2019-11-28,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2019-082A,44819,
757,Gaofen 13,Gaofen 13,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,118.0,35775,35799,0.00028465023602248737,1.98,1436.13,1000.0,,,2020-10-11,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3B,2020-071A,46610,Possible replacement for Gaofen 4.
758,Gaofen 14,Gaofen 14,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Stereo Imaging,LEO,Sun-Synchronous,0.0,485,495,0.0007288629737609329,97.4,94.4,1000.0,,,2020-12-06,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3B,2020-092A,47231,"Gather global three-dimensional, stereo imagery."
759,Gaofen 2,Gaofen 2,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,620,636,0.0011431837667905116,98.02,97.06,1000.0,,,2014-08-19,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B,2014-049A,40118,"The primary users of the satellite will be the Ministry of Land and Resources, the Ministry of Housing and Urban-Rural Development, the Ministry of Transport, and the State Forestry Administration,"
760,Gaofen 3 ,Gaofen 3,China,China,State Oceanic Administration (SOA),Government,Earth Observation,Radar Imaging,LEO,Polar,0.0,757,759,0.00014029180695847364,98.4,99.8,1000.0,,,2016-08-09,8.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2016-049A,41727,"Part of the China High-resolution Earth Observation System, or CHEOS, a network of satellites supplying near-realtime data to Chinese government agencies."
761,Gaofen 4,Gaofen 4,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,105.7,35792,35796,4.743382980741865e-05,0.6,1436.1,4600.0,,,2015-12-28,8.0,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-083A,41194,China's first earth observation satellite in GEO.
762,Gaofen 7,Gaofen 7,NR,China,Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics,Government,Earth Observation,Optical Imaging ,LEO,Sun-Synchronous,0.0,487,505,0.0013108068744538304,97.5,94.5,9.0,,,2019-11-03,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2019-072A,44703,Collect three-dimensional mapping imagery.
763,Gaofen 8,Gaofen 8,China,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,484,492,0.0005832604257801109,97.3,94.36,1000.0,,,2015-06-26,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B,2015-030A,40701,Optical satellite planned under the civilian China High-resolution Earth Observation System (CHEOS).
764,Gaofen 9,Gaofen 9,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,618,664,0.0032805591213806874,98.01,97.54,1000.0,,,2015-09-14,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2015-047A,40894,"Will provide sub-meter class resolution optical images for city planning, road network design, land ownership determination, etc. purposes"
765,Gaofen 9-02,Gaofen 9-02,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,487,502,0.0010925777551169058,97.2,94.5,1000.0,,,2020-05-31,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2020-034B,45625,
766,Gaofen 9-03,Gaofen 9-03,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,485,504,0.0013839318231480807,97.3,94.5,1000.0,,,2020-06-17,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2020-039A,45794,"Gaofen satellites are equipped variously with optical, infrared and radar imaging observatories."
767,Gaofen 9-04,Gaofen 9-04,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,485,505,0.0014566642388929353,97.5,94.5,1000.0,,,2020-08-06,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2020-054A,46025,
768,Gaofen 9-05,Gaofen 9-05,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,483,505,0.0016025641025641025,97.5,94.5,1000.0,,,2020-08-23,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2020-058A,46232,
769,Gaofen Multi-Mode 1,Gaofen Multi-Mode 1,NR (12/20),China,"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Multi-Spectral Imaging,LEO,Sun-Synchronous,0.0,631,649,0.0012838801711840227,98.0,97.5,,,,2020-07-03,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2020-042A,45856,Multi-spectral imager; country's highest definition civilian camera.
770,Gaofen 1-02,Gaofen 1-02,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,642,0.0002853067047075606,98.0,97.5,805.0,,,2018-03-30,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-031A,43259,
771,Gaofen 1-03,Gaofen 1-03,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,640,0.00014267370523612499,98.0,97.5,805.0,,,2018-03-30,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-031B,43260,
772,Gaofen 1-04,Gaofen 1-04,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,642,0.0002853067047075606,98.0,97.5,805.0,,,2018-03-30,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-031D,43262,
773,Gaofen 1-05,Gaofen 1-05,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,677,695,0.0012755102040816326,98.0,98.4,805.0,,,2018-05-08,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C,2018-043A,43461,"Survey global land and water resources, air pollutants, greenhouse gases and other environmental parameters."
774,Gaofen 1-06,Gaofen 1-06,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,634,647,0.000927180657585051,98.0,97.3,1064.0,,,2018-06-03,8.0,China Spacesat,China,Jiuquan Satellite Launch Center,Long March 2D,2018-048A,43484,Similar to Gaofen 1 with improved cameras.
775,Garpun-1 (Cosmos 2473),Cosmos 2473,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,79.9,35782,35790,9.48856627763545e-05,0.09,1436.1,5000.0,,,2011-09-20,,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-048A,37806,Possible replacement for Potok/Geizer relay communications satellite.
776,Garpun-12L (Cosmos 2513),Cosmos 2513,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,76.06,35783,35805,0.00026088606394080257,0.0,1436.1,5000.0,,,2015-12-10,,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2015-075A,41121,Data relay communications satellite.
777,GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),GATOSS,NR,Denmark,GomSpace ApS,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,593,819,0.015969474279253815,97.7,98.9,5.0,,,2013-11-21,,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr,2013-066Q,39430,Principal purpose is to evaluate use of satellites to monitor ABS-B data transmissions from commercial aircraft on trans-oceanic routes.
778,"GCOM-C (Global Change Observation Mission Climate, Shikisai)",GCOM-C,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,,LEO,Sun-Synchronous,0.0,790,793,0.0002094533268170076,98.7,100.69,2200.0,,,2017-12-22,5.0,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H2A,2017-082A,43065,"Make “surface and atmospheric measurements related to the carbon cycle and radiation budget, such as clouds, aerosols, ocean color, vegetation, and snow and ice.”"
779,GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),GEARRSAT-2,NR,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,,LEO,Non-Polar Inclined,0.0,356,700,0.02493476369962308,55.0,95.0,10.0,,,2015-05-20,,NearSpace Launch/Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5,2015-025G,40657,
